source_facility_code,normalized_at,source_observed_at,total_spaces,occupied_spaces,available_spaces,raw_occupancy_rate,occupancy_rate,observation_present,source_observation_count,source_time_distance_minutes,alignment_status,gap_status,gap_slot_count,is_operational_gap,is_data_gap,is_long_gap,is_very_long_gap,sequence_break,is_eligible_for_sequence,normalization_method,operational_profile_enabled,source,quality_flags,quality_status
BHMBCCPST01,2016-10-08 14:00:00,2016-10-08 14:03:00,317,320,-3,1.0094637223974763,1.0,True,1,3.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCPST01,2016-10-22 14:30:00,2016-10-22 14:39:00,317,318,-1,1.003154574132492,1.0,True,1,9.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-11-28 11:00:00,2016-11-28 11:01:00,863,865,-2,1.0023174971031286,1.0,True,1,1.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-11-28 11:30:00,2016-11-28 11:32:00,863,866,-3,1.0034762456546928,1.0,True,1,2.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-11-30 10:30:00,2016-11-30 10:28:00,863,864,-1,1.0011587485515643,1.0,True,1,2.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 08:00:00,2016-12-06 07:56:00,863,869,-6,1.006952491309386,1.0,True,1,4.0,ALIGNED,MISSING,0,False,False,False,False,True,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 08:30:00,2016-12-06 08:29:00,863,866,-3,1.0034762456546928,1.0,True,1,1.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 09:30:00,2016-12-06 09:29:00,863,864,-1,1.0011587485515643,1.0,True,1,1.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 10:00:00,2016-12-06 10:02:00,863,868,-5,1.0057937427578216,1.0,True,1,2.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 10:30:00,2016-12-06 10:29:00,863,868,-5,1.0057937427578216,1.0,True,1,1.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
BHMBCCSNH01,2016-12-06 11:00:00,2016-12-06 11:02:00,863,866,-3,1.0034762456546928,1.0,True,1,2.0,ALIGNED,CONTINUOUS,0,False,False,False,False,False,True,NEAREST_SOURCE_OBSERVATION,True,BIRMINGHAM,['CAPACITY_EXCEEDED'],FLAGGED
