metric,value
features_audited,296
expected_features,296
family_counts.temporal_calendar,50
family_counts.other,14
family_counts.current_state,232
verdict_counts.PRODUCTION_SAFE,50
verdict_counts.REQUIRES_CAUSAL_REVIEW,14
verdict_counts.PRODUCTION_SAFE_REALTIME_CONTRACT,232
source_evidence_features,296
features_without_source_evidence,0
negative_shift_features,0
centered_rolling_features,0
forward_operation_features,0
potential_leakage_features,0
realtime_contract_features,232
causal_review_features,246
source_findings,46
ast_findings,14
target_context_source_findings,0
feature_context_source_findings,9
future_source_findings,28
overall_verdict,PASS_WITH_CAUSAL_REVIEW
