source_file,line_number,finding_type,context,function_name,target_context,feature_context,future_or_forward,negative_shift,centered_rolling,classification
data\dataset_audit.py,1313,FUTURE_OR_FORWARD,"""TOMORROW_MORNING"",",_audit_facilities,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_audit.py,1385,FUTURE_OR_FORWARD,"""tomorrow_morning"",",_audit_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,38,FUTURE_OR_FORWARD,Forecasting,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,64,FUTURE_OR_FORWARD,- forward-fill occupancy,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,192,FUTURE_OR_FORWARD,"TOMORROW_MORNING = ""tomorrow_morning""",,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,236,FUTURE_OR_FORWARD,TOMORROW_MORNING_UNAVAILABLE = (,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,237,FUTURE_OR_FORWARD,"""TOMORROW_MORNING_UNAVAILABLE""",,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,299,FUTURE_OR_FORWARD,tomorrow_morning_start_hour: int = 8,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,301,FUTURE_OR_FORWARD,tomorrow_morning_start_minute: int = 0,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,303,FUTURE_OR_FORWARD,tomorrow_morning_end_hour: int = 10,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,305,FUTURE_OR_FORWARD,tomorrow_morning_end_minute: int = 0,,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,321,FUTURE_OR_FORWARD,"tomorrow_morning_aggregation: str = ""mean""",,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,364,FUTURE_OR_FORWARD,if not 0 <= self.tomorrow_morning_start_hour <= 23:,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,370,FUTURE_OR_FORWARD,if not 0 <= self.tomorrow_morning_end_hour <= 23:,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,376,FUTURE_OR_FORWARD,if not 0 <= self.tomorrow_morning_start_minute <= 59:,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,382,FUTURE_OR_FORWARD,if not 0 <= self.tomorrow_morning_end_minute <= 59:,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,389,FUTURE_OR_FORWARD,self.tomorrow_morning_start_hour * 60,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,390,FUTURE_OR_FORWARD,+ self.tomorrow_morning_start_minute,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,394,FUTURE_OR_FORWARD,self.tomorrow_morning_end_hour * 60,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,395,FUTURE_OR_FORWARD,+ self.tomorrow_morning_end_minute,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,410,FUTURE_OR_FORWARD,if self.tomorrow_morning_aggregation not in {,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,416,FUTURE_OR_FORWARD,"""tomorrow_morning_aggregation must """,__post_init__,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,642,FUTURE_OR_FORWARD,"""tomorrow_morning"": {",build,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,645,FUTURE_OR_FORWARD,".tomorrow_morning_start_hour,",build,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,647,FUTURE_OR_FORWARD,".tomorrow_morning_start_minute,",build,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,651,FUTURE_OR_FORWARD,".tomorrow_morning_end_hour,",build,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,653,FUTURE_OR_FORWARD,".tomorrow_morning_end_minute,",build,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,1083,FUTURE_OR_FORWARD,future_occupancy = (,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1084,SHIFT,occupancy.shift(,_build_horizon_targets,True,False,False,False,False,TEMPORAL_OPERATION
data\dataset_builder.py,1089,FUTURE_OR_FORWARD,future_observed = (,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1091,SHIFT,.shift(,_build_horizon_targets,True,False,False,False,False,TEMPORAL_OPERATION
data\dataset_builder.py,1098,FUTURE_OR_FORWARD,future_sequence_break = (,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1100,SHIFT,.shift(,_build_horizon_targets,True,False,False,False,False,TEMPORAL_OPERATION
data\dataset_builder.py,1107,FUTURE_OR_FORWARD,future_operational_gap = (,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1109,SHIFT,.shift(,_build_horizon_targets,True,False,False,False,False,TEMPORAL_OPERATION
data\dataset_builder.py,1116,FUTURE_OR_FORWARD,future_data_gap = (,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1118,SHIFT,.shift(,_build_horizon_targets,True,False,False,False,False,TEMPORAL_OPERATION
data\dataset_builder.py,1156,FUTURE_OR_FORWARD,& future_observed,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1157,FUTURE_OR_FORWARD,& future_occupancy.notna(),_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1167,FUTURE_OR_FORWARD,& ~future_sequence_break,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1177,FUTURE_OR_FORWARD,& ~future_operational_gap,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1187,FUTURE_OR_FORWARD,& ~future_data_gap,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1197,FUTURE_OR_FORWARD,] = future_occupancy[,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1224,FUTURE_OR_FORWARD,"future_occupancy=future_occupancy,",_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1225,FUTURE_OR_FORWARD,"future_observed=future_observed,",_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1226,FUTURE_OR_FORWARD,future_sequence_break=(,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1227,FUTURE_OR_FORWARD,future_sequence_break,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1229,FUTURE_OR_FORWARD,future_operational_gap=(,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1230,FUTURE_OR_FORWARD,future_operational_gap,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1232,FUTURE_OR_FORWARD,future_data_gap=(,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1233,FUTURE_OR_FORWARD,future_data_gap,_build_horizon_targets,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1262,FUTURE_OR_FORWARD,"future_occupancy: pd.Series,",_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1263,FUTURE_OR_FORWARD,"future_observed: pd.Series,",_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1264,FUTURE_OR_FORWARD,"future_sequence_break: pd.Series,",_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1265,FUTURE_OR_FORWARD,"future_operational_gap: pd.Series,",_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1266,FUTURE_OR_FORWARD,"future_data_gap: pd.Series,",_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1291,FUTURE_OR_FORWARD,future_index = (,_build_horizon_reasons,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,1299,FUTURE_OR_FORWARD,future_index,_build_horizon_reasons,False,False,True,False,False,FUTURE_OPERATION_REVIEW
data\dataset_builder.py,1326,FUTURE_OR_FORWARD,& ~future_observed,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1344,FUTURE_OR_FORWARD,& future_observed,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1345,FUTURE_OR_FORWARD,& future_sequence_break,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1368,FUTURE_OR_FORWARD,& future_observed,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1369,FUTURE_OR_FORWARD,& ~future_sequence_break,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1370,FUTURE_OR_FORWARD,& future_operational_gap,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1393,FUTURE_OR_FORWARD,& future_observed,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1394,FUTURE_OR_FORWARD,& ~future_sequence_break,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1395,FUTURE_OR_FORWARD,& ~future_operational_gap,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1396,FUTURE_OR_FORWARD,& future_data_gap,_build_horizon_reasons,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1514,FUTURE_OR_FORWARD,.tomorrow_morning_start_hour,_build_tomorrow_morning_target,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1517,FUTURE_OR_FORWARD,.tomorrow_morning_start_minute,_build_tomorrow_morning_target,True,False,True,False,False,TARGET_FUTURE_LOGIC
data\dataset_builder.py,1522,FUTURE_OR_FORWARD,.tomorrow_morning_end_hour,_build_tomorrow_morning_target,True,False,True,False,False,TARGET_FUTURE_LOGIC
