category,metric,value
overall,features_audited,296
family_counts,temporal_calendar,48
family_counts,other,192
family_counts,current_state,17
family_counts,historical,39
verdict_counts,PRODUCTION_SAFE,48
verdict_counts,REQUIRES_CAUSAL_REVIEW,192
verdict_counts,PRODUCTION_SAFE_REALTIME_CONTRACT,17
verdict_counts,PRODUCTION_SAFE_HISTORICAL,39
overall,potential_leakage_features,0
overall,negative_shift_features,0
overall,centered_rolling_features,0
overall,forward_operation_features,0
overall,realtime_contract_features,17
overall,causal_review_features,248
overall,source_evidence_features,296
overall,features_without_source_evidence,0
overall,overall_verdict,PASS_WITH_CAUSAL_REVIEW
overall,generated_at,2026-08-22T07:37:08.970242+00:00
