rank,feature,importance,importance_type,feature_group,dtype,numeric,categorical,train_rows,train_non_null,train_nulls,train_unique_values,validation_non_null,validation_nulls,validation_unique_values,train_min,train_max,train_mean,validation_min,validation_max,validation_mean,constant_feature,train_validation_schema_match,target_correlation,target_dependency_status,prediction_time_status,future_lookup_status,audit_status,notes
1,demand_class_code,210.46160888671875,gain,demand,int64,True,False,23244,23244,0,6,4980,0,6,0.0,5.0,1.4838237824815006,0.0,5.0,1.7516064257028112,False,True,0.9488221772166752,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
2,availability_rate,22.250736236572266,gain,occupancy,float64,True,False,23244,23244,0,11223,4980,0,3828,0.0,1.0,0.5188707562176872,0.0,0.9921135646687698,0.46491434437049944,False,True,-0.9849194895332796,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
3,available_ratio,19.433942794799805,gain,occupancy,float64,True,False,23244,23244,0,11223,4980,0,3828,0.0,1.0,0.5188707562176872,0.0,0.9921135646687698,0.46491434437049944,False,True,-0.9849194895332796,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Priority feature selected for manual review.
4,calculated_demand_level,7.350575447082519,gain,demand,float64,True,False,23244,23244,0,11248,4980,0,3855,0.0,1.0387596899224807,0.48119568781113603,0.007886435331230283,1.041343669250646,0.5354997890198177,False,True,0.98490618442166,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
5,occupied_ratio,4.891272068023682,gain,occupancy,float64,True,False,23244,23244,0,11223,4980,0,3828,0.0,1.0,0.48112924378231287,0.007886435331230283,1.0,0.5350856556295005,False,True,0.9849194895332796,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
6,remaining_capacity_ratio,4.231770038604736,gain,occupancy,float64,True,False,23244,23244,0,11248,4980,0,3855,-0.03875968992248069,1.0,0.5188043121888639,-0.04134366925064592,0.9921135646687698,0.4645002109801824,False,True,-0.98490618442166,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Priority feature selected for manual review.
7,capacity_utilization,3.136606216430664,gain,occupancy,float64,True,False,23244,23244,0,11223,4980,0,3828,0.0,1.0,0.48112924378231287,0.007886435331230283,1.0,0.5350856556295005,False,True,0.9849194895332796,NO_DIRECT_TARGET_DEPENDENCY_IDENTIFIED,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Priority feature selected for manual review.
8,is_moderate_occupancy,2.095574378967285,gain,occupancy,bool,True,False,23244,23244,0,2,4980,0,2,0.0,1.0,0.3900791602133884,0.0,1.0,0.33674698795180724,False,True,-0.1690770007134739,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
9,demand_pressure,1.0229370594024658,gain,demand,float64,True,False,23244,23244,0,11248,4980,0,3855,0.0,1.0387596899224807,0.48119568781113603,0.007886435331230283,1.041343669250646,0.5354997890198177,False,True,0.98490618442166,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
10,demand_level,0.4330626428127289,gain,demand,float64,True,False,23244,23244,0,11223,4980,0,3828,0.0,1.0,0.48112924378231287,0.007886435331230283,1.0,0.5350856556295005,False,True,0.9849194895332796,REQUIRES_SOURCE_REVIEW,REQUIRES_SOURCE_REVIEW,NOT_DETERMINED_FROM_NAME,REVIEW,Feature is derived from occupancy/demand/availability information and requires source-level review. | Current operational feature requires verification against inference-time availability. | Priority feature selected for manual review.
