metric,value
repository_root,C:\agano\Oshwal\docs\Project\smart-parking-system
registered_features,296
training_features,296
validation_features,296
source_files_scanned,51
source_findings,17
historical_features,129
current_state_features,20
temporal_calendar_features,46
other_features,101
source_evidence_features,111
no_source_evidence_features,185
negative_shift_features,0
centered_rolling_features,0
forward_operation_features,0
target_context_findings,5
feature_context_future_findings,0
unresolved_future_findings,0
confirmed_leakage_features,0
potential_leakage_features,0
causal_review_features,296
provisionally_safe_features,0
verdict,PASS_WITH_CAUSAL_REVIEW
