feature,feature_index,classification,train_present,validation_present,dtype_train,dtype_validation,train_null_count,validation_null_count,source_files,source_line_count,historical_name_signal,lag_signal,rolling_signal,trend_signal,feature_specific_future_signal,feature_specific_negative_shift,feature_specific_centered_rolling,feature_specific_forward_operation,target_reference_signal,causal_direction,verdict,confidence,reasons,recommended_action
occupancy_rate_lag_30m,96,historical,True,True,float64,float64,1438,324,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_1h,97,historical,True,True,float64,float64,2731,617,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_2h,98,historical,True,True,float64,float64,5467,1207,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_3h,99,historical,True,True,float64,float64,8241,1800,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_6h,100,historical,True,True,float64,float64,16535,3577,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_12h,101,historical,True,True,float64,float64,23244,4980,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupancy_rate_lag_1d,102,historical,True,True,float64,float64,1428,600,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_30m,103,historical,True,True,float64,float64,1438,324,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_1h,104,historical,True,True,float64,float64,2731,617,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
occupied_spaces_lag_2h,105,historical,True,True,float64,float64,5467,1207,,0,True,True,False,False,False,False,False,False,False,UNKNOWN,NO_SOURCE_EVIDENCE,LOW,No direct source-code reference to the registered feature name was found.,Locate the feature-generation implementation and document its temporal source boundary.
