file,line_number,line_text,finding_type,severity,feature,context
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1083,future_occupancy = (,FUTURE_NAMED_VARIABLE,MEDIUM,,Likely target-generation context
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1089,future_observed = (,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1098,future_sequence_break = (,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1107,future_operational_gap = (,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1116,future_data_gap = (,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1156,& future_observed,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1157,& future_occupancy.notna(),FUTURE_NAMED_VARIABLE,MEDIUM,,Likely target-generation context
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1167,& ~future_sequence_break,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1177,& ~future_operational_gap,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1187,& ~future_data_gap,FUTURE_NAMED_VARIABLE,MEDIUM,,Requires causal review
C:\agano\Oshwal\docs\Project\smart-parking-system\backend\app\ml\data\dataset_builder.py,1197,] = future_occupancy[,FUTURE_NAMED_VARIABLE,MEDIUM,,Likely target-generation context
