file,line_number,finding_type,matched_text,context
app\ml\data\dataset_audit.py,46,target_reference,- Why are targets unavailable?,"- Which facilities are sparse?
- What proportion of observations are usable?
- Why are targets unavailable?
- What is the occupancy distribution?
- How does coverage vary by hour?"
app\ml\data\dataset_audit.py,104,target_reference,# Target columns,"# ============================================================
# Target columns
# ============================================================"
app\ml\data\dataset_audit.py,107,target_reference,"TARGET_30M_COLUMN = ""target_occupancy_rate_30m""","# ============================================================

TARGET_30M_COLUMN = ""target_occupancy_rate_30m""

TARGET_1H_COLUMN = ""target_occupancy_rate_1h"""
app\ml\data\dataset_audit.py,109,target_reference,"TARGET_1H_COLUMN = ""target_occupancy_rate_1h""","TARGET_30M_COLUMN = ""target_occupancy_rate_30m""

TARGET_1H_COLUMN = ""target_occupancy_rate_1h""

TARGET_2H_COLUMN = ""target_occupancy_rate_2h"""
app\ml\data\dataset_audit.py,111,target_reference,"TARGET_2H_COLUMN = ""target_occupancy_rate_2h""","TARGET_1H_COLUMN = ""target_occupancy_rate_1h""

TARGET_2H_COLUMN = ""target_occupancy_rate_2h""

TARGET_TOMORROW_MORNING_COLUMN = ("
app\ml\data\dataset_audit.py,113,target_reference,TARGET_TOMORROW_MORNING_COLUMN = (,"TARGET_2H_COLUMN = ""target_occupancy_rate_2h""

TARGET_TOMORROW_MORNING_COLUMN = (
    ""target_tomorrow_morning_demand""
)"
app\ml\data\dataset_audit.py,114,target_reference,"""target_tomorrow_morning_demand""","TARGET_TOMORROW_MORNING_COLUMN = (
    ""target_tomorrow_morning_demand""
)"
app\ml\data\dataset_audit.py,119,target_reference,# Target availability columns,"# ============================================================
# Target availability columns
# ============================================================"
app\ml\data\dataset_audit.py,122,target_reference,TARGET_30M_AVAILABLE_COLUMN = (,"# ============================================================

TARGET_30M_AVAILABLE_COLUMN = (
    ""target_30m_available""
)"
app\ml\data\dataset_audit.py,123,target_reference,"""target_30m_available""","TARGET_30M_AVAILABLE_COLUMN = (
    ""target_30m_available""
)"
app\ml\data\dataset_audit.py,126,target_reference,TARGET_1H_AVAILABLE_COLUMN = (,")

TARGET_1H_AVAILABLE_COLUMN = (
    ""target_1h_available""
)"
app\ml\data\dataset_audit.py,127,target_reference,"""target_1h_available""","TARGET_1H_AVAILABLE_COLUMN = (
    ""target_1h_available""
)"
app\ml\data\dataset_audit.py,130,target_reference,TARGET_2H_AVAILABLE_COLUMN = (,")

TARGET_2H_AVAILABLE_COLUMN = (
    ""target_2h_available""
)"
app\ml\data\dataset_audit.py,131,target_reference,"""target_2h_available""","TARGET_2H_AVAILABLE_COLUMN = (
    ""target_2h_available""
)"
app\ml\data\dataset_audit.py,134,target_reference,TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN = (,")

TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN = (
    ""target_tomorrow_morning_available""
)"
app\ml\data\dataset_audit.py,135,target_reference,"""target_tomorrow_morning_available""","TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN = (
    ""target_tomorrow_morning_available""
)"
app\ml\data\dataset_audit.py,138,target_reference,"TARGET_ELIGIBLE_COLUMN = ""target_eligible""",")

TARGET_ELIGIBLE_COLUMN = ""target_eligible""

TARGET_EXCLUSION_REASON_COLUMN = ("
app\ml\data\dataset_audit.py,140,target_reference,TARGET_EXCLUSION_REASON_COLUMN = (,"TARGET_ELIGIBLE_COLUMN = ""target_eligible""

TARGET_EXCLUSION_REASON_COLUMN = (
    ""target_exclusion_reason""
)"
app\ml\data\dataset_audit.py,141,target_reference,"""target_exclusion_reason""","TARGET_EXCLUSION_REASON_COLUMN = (
    ""target_exclusion_reason""
)"
app\ml\data\dataset_audit.py,367,target_reference,target_eligible_count: int,"sequence_break_count: int

    target_eligible_count: int

    target_eligible_ratio: float"
app\ml\data\dataset_audit.py,369,target_reference,target_eligible_ratio: float,"target_eligible_count: int

    target_eligible_ratio: float

    coverage_start: pd.Timestamp | None"
app\ml\data\dataset_audit.py,401,target_reference,target_30m_count: int,"observed_ratio: float

    target_30m_count: int

    target_1h_count: int"
app\ml\data\dataset_audit.py,403,target_reference,target_1h_count: int,"target_30m_count: int

    target_1h_count: int

    target_2h_count: int"
app\ml\data\dataset_audit.py,405,target_reference,target_2h_count: int,"target_1h_count: int

    target_2h_count: int

    target_tomorrow_morning_count: int"
app\ml\data\dataset_audit.py,407,target_reference,target_tomorrow_morning_count: int,"target_2h_count: int

    target_tomorrow_morning_count: int

    target_30m_ratio: float"
app\ml\data\dataset_audit.py,409,target_reference,target_30m_ratio: float,"target_tomorrow_morning_count: int

    target_30m_ratio: float

    target_1h_ratio: float"
app\ml\data\dataset_audit.py,411,target_reference,target_1h_ratio: float,"target_30m_ratio: float

    target_1h_ratio: float

    target_2h_ratio: float"
app\ml\data\dataset_audit.py,413,target_reference,target_2h_ratio: float,"target_1h_ratio: float

    target_2h_ratio: float

    target_tomorrow_morning_ratio: float"
app\ml\data\dataset_audit.py,415,target_reference,target_tomorrow_morning_ratio: float,"target_2h_ratio: float

    target_tomorrow_morning_ratio: float

    target_eligible_count: int"
app\ml\data\dataset_audit.py,417,target_reference,target_eligible_count: int,"target_tomorrow_morning_ratio: float

    target_eligible_count: int

    minimum_occupancy_rate: float | None"
app\ml\data\dataset_audit.py,439,target_reference,# Target audit,"# ============================================================
# Target audit
# ============================================================"
app\ml\data\dataset_audit.py,444,target_reference,class TargetAudit:,"@dataclass(frozen=True, slots=True)
class TargetAudit:
    """"""Audit statistics for one target horizon."""""""
app\ml\data\dataset_audit.py,445,target_reference,"""""""Audit statistics for one target horizon.""""""","@dataclass(frozen=True, slots=True)
class TargetAudit:
    """"""Audit statistics for one target horizon.""""""

    horizon: str"
app\ml\data\dataset_audit.py,449,target_reference,target_column: str,"horizon: str

    target_column: str

    availability_column: str"
app\ml\data\dataset_audit.py,503,target_reference,target_30m_rows: int,"observed_ratio: float

    target_30m_rows: int

    target_1h_rows: int"
app\ml\data\dataset_audit.py,505,target_reference,target_1h_rows: int,"target_30m_rows: int

    target_1h_rows: int

    target_2h_rows: int"
app\ml\data\dataset_audit.py,507,target_reference,target_2h_rows: int,"target_1h_rows: int

    target_2h_rows: int

    target_tomorrow_rows: int"
app\ml\data\dataset_audit.py,509,target_reference,target_tomorrow_rows: int,"target_2h_rows: int

    target_tomorrow_rows: int"
app\ml\data\dataset_audit.py,531,target_reference,target_30m_rows: int,"observed_ratio: float

    target_30m_rows: int

    target_1h_rows: int"
app\ml\data\dataset_audit.py,533,target_reference,target_1h_rows: int,"target_30m_rows: int

    target_1h_rows: int

    target_2h_rows: int"
app\ml\data\dataset_audit.py,535,target_reference,target_2h_rows: int,"target_1h_rows: int

    target_2h_rows: int

    target_tomorrow_rows: int"
app\ml\data\dataset_audit.py,537,target_reference,target_tomorrow_rows: int,"target_2h_rows: int

    target_tomorrow_rows: int"
app\ml\data\dataset_audit.py,558,target_reference,targets: tuple[,"]

    targets: tuple[
        TargetAudit,
        ..."
app\ml\data\dataset_audit.py,559,target_reference,"TargetAudit,","targets: tuple[
        TargetAudit,
        ...
    ]"
app\ml\data\dataset_audit.py,698,target_reference,targets = (,")

        targets = (
            self._audit_targets(
                working,"
app\ml\data\dataset_audit.py,740,target_reference,"targets,","summary,
            facilities,
            targets,
            findings,
        )"
app\ml\data\dataset_audit.py,754,target_reference,targets=tuple(,"facilities
            ),
            targets=tuple(
                targets
            ),"
app\ml\data\dataset_audit.py,755,target_reference,targets,"),
            targets=tuple(
                targets
            ),
            hourly_coverage=tuple("
app\ml\data\dataset_audit.py,823,target_reference,"TARGET_30M_AVAILABLE_COLUMN,","IS_OPERATIONAL_GAP_COLUMN,
            IS_DATA_GAP_COLUMN,
            TARGET_30M_AVAILABLE_COLUMN,
            TARGET_1H_AVAILABLE_COLUMN,
            TARGET_2H_AVAILABLE_COLUMN,"
app\ml\data\dataset_audit.py,824,target_reference,"TARGET_1H_AVAILABLE_COLUMN,","IS_DATA_GAP_COLUMN,
            TARGET_30M_AVAILABLE_COLUMN,
            TARGET_1H_AVAILABLE_COLUMN,
            TARGET_2H_AVAILABLE_COLUMN,
            TARGET_TOMORROW_MORNING_AVAILABLE_COLUMN,"
